line_no,raw_line,time_raw,time,module,level,pid,tid,client_ip,client_port,error_code,message,parse_status,record_type,parse_note
135,[Mon Jun 16 16:14:24.442833 2025] [proxy:error] [pid 1190:tid 140343685113600] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 16:14:24.442833 2025,2025-06-16 16:14:24.442833,proxy,error,1190,140343685113600,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
136,[Mon Jun 16 16:14:24.442886 2025] [proxy_http:error] [pid 1190:tid 140343685113600] [client 210.110.68.35:61650] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Mon Jun 16 16:14:24.442886 2025,2025-06-16 16:14:24.442886,proxy_http,error,1190,140343685113600,210.110.68.35,61650,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
137,[Mon Jun 16 16:15:24.528294 2025] [proxy:error] [pid 3138:tid 140343576073984] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 16:15:24.528294 2025,2025-06-16 16:15:24.528294,proxy,error,3138,140343576073984,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
138,"[Mon Jun 16 16:15:24.528361 2025] [proxy_http:error] [pid 3138:tid 140343576073984] [client 210.110.68.35:61706] AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://114.70.38.81/",Mon Jun 16 16:15:24.528361 2025,2025-06-16 16:15:24.528361,proxy_http,error,3138,140343576073984,210.110.68.35,61706,AH01114,"AH01114: HTTP: failed to make connection to backend: 210.110.104.16, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
139,[Mon Jun 16 16:32:00.459306 2025] [proxy:error] [pid 3138:tid 140343215384320] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 16:32:00.459306 2025,2025-06-16 16:32:00.459306,proxy,error,3138,140343215384320,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
140,[Mon Jun 16 16:32:00.459363 2025] [proxy_http:error] [pid 3138:tid 140343215384320] [client 45.196.222.135:41860] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Mon Jun 16 16:32:00.459363 2025,2025-06-16 16:32:00.459363,proxy_http,error,3138,140343215384320,45.196.222.135,41860,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
141,[Mon Jun 16 16:32:03.244389 2025] [proxy:error] [pid 1190:tid 140343634757376] (70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,Mon Jun 16 16:32:03.244389 2025,2025-06-16 16:32:03.244389,proxy,error,1190,140343634757376,,,AH00957,(70007)The timeout specified has expired: AH00957: HTTP: attempt to connect to 210.110.104.16:5000 (210.110.104.16) failed,SUCCESS,STANDARD_HEADER,
142,[Mon Jun 16 16:32:03.244449 2025] [proxy_http:error] [pid 1190:tid 140343634757376] [client 103.130.212.158:33692] AH01114: HTTP: failed to make connection to backend: 210.110.104.16,Mon Jun 16 16:32:03.244449 2025,2025-06-16 16:32:03.244449,proxy_http,error,1190,140343634757376,103.130.212.158,33692,AH01114,AH01114: HTTP: failed to make connection to backend: 210.110.104.16,SUCCESS,STANDARD_HEADER,
143,"[Mon Jun 16 17:05:18.550948 2025] [mpm_event:notice] [pid 1028:tid 140344454240576] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 17:05:18.550948 2025,2025-06-16 17:05:18.550948,mpm_event,notice,1028,140344454240576,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
144,[Mon Jun 16 17:05:19.605355 2025] [suexec:notice] [pid 4612:tid 139657344936256] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 17:05:19.605355 2025,2025-06-16 17:05:19.605355,suexec,notice,4612,139657344936256,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
145,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
146,[Mon Jun 16 17:05:19.616909 2025] [lbmethod_heartbeat:notice] [pid 4612:tid 139657344936256] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 17:05:19.616909 2025,2025-06-16 17:05:19.616909,lbmethod_heartbeat,notice,4612,139657344936256,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
147,[Mon Jun 16 17:05:19.617393 2025] [http2:warn] [pid 4612:tid 139657344936256] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 17:05:19.617393 2025,2025-06-16 17:05:19.617393,http2,warn,4612,139657344936256,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
148,[Mon Jun 16 17:05:19.619215 2025] [mpm_event:notice] [pid 4612:tid 139657344936256] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Mon Jun 16 17:05:19.619215 2025,2025-06-16 17:05:19.619215,mpm_event,notice,4612,139657344936256,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
149,[Mon Jun 16 17:05:19.619232 2025] [core:notice] [pid 4612:tid 139657344936256] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Mon Jun 16 17:05:19.619232 2025,2025-06-16 17:05:19.619232,core,notice,4612,139657344936256,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
150,[Mon Jun 16 17:05:31.074133 2025] [proxy:error] [pid 4621:tid 139656632989440] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:05:31.074133 2025,2025-06-16 17:05:31.074133,proxy,error,4621,139656632989440,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
151,[Mon Jun 16 17:05:31.074206 2025] [proxy_http:error] [pid 4621:tid 139656632989440] [client 210.110.68.35:61555] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:05:31.074206 2025,2025-06-16 17:05:31.074206,proxy_http,error,4621,139656632989440,210.110.68.35,61555,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
152,[Mon Jun 16 17:05:31.118958 2025] [proxy:error] [pid 4622:tid 139656748283648] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:05:31.118958 2025,2025-06-16 17:05:31.118958,proxy,error,4622,139656748283648,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
153,"[Mon Jun 16 17:05:31.118982 2025] [proxy_http:error] [pid 4622:tid 139656748283648] [client 210.110.68.35:61556] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:05:31.118982 2025,2025-06-16 17:05:31.118982,proxy_http,error,4622,139656748283648,210.110.68.35,61556,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
154,"[Mon Jun 16 17:07:09.817255 2025] [mpm_event:notice] [pid 4612:tid 139657344936256] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 17:07:09.817255 2025,2025-06-16 17:07:09.817255,mpm_event,notice,4612,139657344936256,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
155,[Mon Jun 16 17:07:27.115010 2025] [suexec:notice] [pid 1032:tid 139750706583872] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 17:07:27.115010 2025,2025-06-16 17:07:27.115010,suexec,notice,1032,139750706583872,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
156,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
157,[Mon Jun 16 17:07:27.143581 2025] [lbmethod_heartbeat:notice] [pid 1032:tid 139750706583872] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 17:07:27.143581 2025,2025-06-16 17:07:27.143581,lbmethod_heartbeat,notice,1032,139750706583872,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
158,[Mon Jun 16 17:07:27.145360 2025] [http2:warn] [pid 1032:tid 139750706583872] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 17:07:27.145360 2025,2025-06-16 17:07:27.145360,http2,warn,1032,139750706583872,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
159,[Mon Jun 16 17:07:27.149241 2025] [mpm_event:notice] [pid 1032:tid 139750706583872] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Mon Jun 16 17:07:27.149241 2025,2025-06-16 17:07:27.149241,mpm_event,notice,1032,139750706583872,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
160,[Mon Jun 16 17:07:27.149258 2025] [core:notice] [pid 1032:tid 139750706583872] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Mon Jun 16 17:07:27.149258 2025,2025-06-16 17:07:27.149258,core,notice,1032,139750706583872,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
161,[Mon Jun 16 17:07:29.147322 2025] [proxy:error] [pid 1410:tid 139750109931264] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:29.147322 2025,2025-06-16 17:07:29.147322,proxy,error,1410,139750109931264,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
162,[Mon Jun 16 17:07:29.147356 2025] [proxy_http:error] [pid 1410:tid 139750109931264] [client 210.110.68.35:61593] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:07:29.147356 2025,2025-06-16 17:07:29.147356,proxy_http,error,1410,139750109931264,210.110.68.35,61593,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
163,[Mon Jun 16 17:07:29.198653 2025] [proxy:error] [pid 1410:tid 139750093145856] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:29.198653 2025,2025-06-16 17:07:29.198653,proxy,error,1410,139750093145856,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
164,"[Mon Jun 16 17:07:29.198671 2025] [proxy_http:error] [pid 1410:tid 139750093145856] [client 210.110.68.35:61594] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:07:29.198671 2025,2025-06-16 17:07:29.198671,proxy_http,error,1410,139750093145856,210.110.68.35,61594,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
165,[Mon Jun 16 17:07:34.809856 2025] [proxy:error] [pid 1412:tid 139750109931264] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:34.809856 2025,2025-06-16 17:07:34.809856,proxy,error,1412,139750109931264,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
166,[Mon Jun 16 17:07:34.809896 2025] [proxy_http:error] [pid 1412:tid 139750109931264] [client 210.110.68.35:61595] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:07:34.809896 2025,2025-06-16 17:07:34.809896,proxy_http,error,1412,139750109931264,210.110.68.35,61595,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
167,[Mon Jun 16 17:07:34.845825 2025] [proxy:error] [pid 1410:tid 139750076360448] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:34.845825 2025,2025-06-16 17:07:34.845825,proxy,error,1410,139750076360448,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
168,"[Mon Jun 16 17:07:34.845879 2025] [proxy_http:error] [pid 1410:tid 139750076360448] [client 210.110.68.35:61596] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:07:34.845879 2025,2025-06-16 17:07:34.845879,proxy_http,error,1410,139750076360448,210.110.68.35,61596,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
169,[Mon Jun 16 17:07:39.125510 2025] [proxy:error] [pid 1410:tid 139750059575040] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:39.125510 2025,2025-06-16 17:07:39.125510,proxy,error,1410,139750059575040,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
170,[Mon Jun 16 17:07:39.125567 2025] [proxy_http:error] [pid 1410:tid 139750059575040] [client 210.110.68.35:61599] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:07:39.125567 2025,2025-06-16 17:07:39.125567,proxy_http,error,1410,139750059575040,210.110.68.35,61599,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
171,[Mon Jun 16 17:07:39.149295 2025] [proxy:error] [pid 1412:tid 139750076360448] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:07:39.149295 2025,2025-06-16 17:07:39.149295,proxy,error,1412,139750076360448,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
172,"[Mon Jun 16 17:07:39.149332 2025] [proxy_http:error] [pid 1412:tid 139750076360448] [client 210.110.68.35:61600] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:07:39.149332 2025,2025-06-16 17:07:39.149332,proxy_http,error,1412,139750076360448,210.110.68.35,61600,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
173,[Mon Jun 16 17:09:57.320499 2025] [proxy:error] [pid 1410:tid 139749973026560] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:09:57.320499 2025,2025-06-16 17:09:57.320499,proxy,error,1410,139749973026560,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
174,[Mon Jun 16 17:09:57.320569 2025] [proxy_http:error] [pid 1410:tid 139749973026560] [client 210.110.68.35:61656] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:09:57.320569 2025,2025-06-16 17:09:57.320569,proxy_http,error,1410,139749973026560,210.110.68.35,61656,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
175,[Mon Jun 16 17:09:57.346449 2025] [proxy:error] [pid 1412:tid 139750084753152] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:09:57.346449 2025,2025-06-16 17:09:57.346449,proxy,error,1412,139750084753152,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
176,"[Mon Jun 16 17:09:57.346472 2025] [proxy_http:error] [pid 1412:tid 139750084753152] [client 210.110.68.35:61655] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:09:57.346472 2025,2025-06-16 17:09:57.346472,proxy_http,error,1412,139750084753152,210.110.68.35,61655,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
177,[Mon Jun 16 17:15:47.277691 2025] [proxy:error] [pid 1410:tid 139749956241152] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:15:47.277691 2025,2025-06-16 17:15:47.277691,proxy,error,1410,139749956241152,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
178,[Mon Jun 16 17:15:47.277752 2025] [proxy_http:error] [pid 1410:tid 139749956241152] [client 210.110.68.35:61733] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:15:47.277752 2025,2025-06-16 17:15:47.277752,proxy_http,error,1410,139749956241152,210.110.68.35,61733,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
179,[Mon Jun 16 17:15:47.303920 2025] [proxy:error] [pid 1412:tid 139750059575040] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:15:47.303920 2025,2025-06-16 17:15:47.303920,proxy,error,1412,139750059575040,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
180,"[Mon Jun 16 17:15:47.303959 2025] [proxy_http:error] [pid 1412:tid 139750059575040] [client 210.110.68.35:61734] AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",Mon Jun 16 17:15:47.303959 2025,2025-06-16 17:15:47.303959,proxy_http,error,1412,139750059575040,210.110.68.35,61734,AH01114,"AH01114: HTTP: failed to make connection to backend: 114.70.38.81, referer: http://114.70.38.81/",SUCCESS,STANDARD_HEADER,
181,[Mon Jun 16 17:21:22.331933 2025] [proxy:error] [pid 1412:tid 139749973026560] (111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,Mon Jun 16 17:21:22.331933 2025,2025-06-16 17:21:22.331933,proxy,error,1412,139749973026560,,,AH00957,(111)Connection refused: AH00957: HTTP: attempt to connect to 114.70.38.81:5000 (114.70.38.81) failed,SUCCESS,STANDARD_HEADER,
182,[Mon Jun 16 17:21:22.331967 2025] [proxy_http:error] [pid 1412:tid 139749973026560] [client 114.70.38.81:51780] AH01114: HTTP: failed to make connection to backend: 114.70.38.81,Mon Jun 16 17:21:22.331967 2025,2025-06-16 17:21:22.331967,proxy_http,error,1412,139749973026560,114.70.38.81,51780,AH01114,AH01114: HTTP: failed to make connection to backend: 114.70.38.81,SUCCESS,STANDARD_HEADER,
183,"[Mon Jun 16 17:26:05.420970 2025] [mpm_event:notice] [pid 1032:tid 139750706583872] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 17:26:05.420970 2025,2025-06-16 17:26:05.420970,mpm_event,notice,1032,139750706583872,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
184,[Mon Jun 16 17:26:13.005198 2025] [proxy_http:error] [pid 1412:tid 139749956241152] (70007)The timeout specified has expired: [client 210.110.68.35:61825] AH01102: error reading status line from remote server 114.70.38.81:5000,Mon Jun 16 17:26:13.005198 2025,2025-06-16 17:26:13.005198,proxy_http,error,1412,139749956241152,,,AH01102,(70007)The timeout specified has expired: [client 210.110.68.35:61825] AH01102: error reading status line from remote server 114.70.38.81:5000,SUCCESS,STANDARD_HEADER,
185,[Mon Jun 16 17:26:13.005250 2025] [proxy:error] [pid 1412:tid 139749956241152] [client 210.110.68.35:61825] AH00898: Error reading from remote server returned by /,Mon Jun 16 17:26:13.005250 2025,2025-06-16 17:26:13.005250,proxy,error,1412,139749956241152,210.110.68.35,61825,AH00898,AH00898: Error reading from remote server returned by /,SUCCESS,STANDARD_HEADER,
186,[Mon Jun 16 17:26:40.309894 2025] [proxy_http:error] [pid 1410:tid 139749897492224] (70007)The timeout specified has expired: [client 210.110.68.35:61830] AH01102: error reading status line from remote server 114.70.38.81:5000,Mon Jun 16 17:26:40.309894 2025,2025-06-16 17:26:40.309894,proxy_http,error,1410,139749897492224,,,AH01102,(70007)The timeout specified has expired: [client 210.110.68.35:61830] AH01102: error reading status line from remote server 114.70.38.81:5000,SUCCESS,STANDARD_HEADER,
187,[Mon Jun 16 17:26:40.309951 2025] [proxy:error] [pid 1410:tid 139749897492224] [client 210.110.68.35:61830] AH00898: Error reading from remote server returned by /,Mon Jun 16 17:26:40.309951 2025,2025-06-16 17:26:40.309951,proxy,error,1410,139749897492224,210.110.68.35,61830,AH00898,AH00898: Error reading from remote server returned by /,SUCCESS,STANDARD_HEADER,
188,[Mon Jun 16 17:26:40.510383 2025] [suexec:notice] [pid 4208:tid 140120669116736] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 17:26:40.510383 2025,2025-06-16 17:26:40.510383,suexec,notice,4208,140120669116736,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
189,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
190,[Mon Jun 16 17:26:40.521952 2025] [lbmethod_heartbeat:notice] [pid 4208:tid 140120669116736] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 17:26:40.521952 2025,2025-06-16 17:26:40.521952,lbmethod_heartbeat,notice,4208,140120669116736,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
191,[Mon Jun 16 17:26:40.522411 2025] [http2:warn] [pid 4208:tid 140120669116736] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 17:26:40.522411 2025,2025-06-16 17:26:40.522411,http2,warn,4208,140120669116736,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
192,[Mon Jun 16 17:26:40.524268 2025] [mpm_event:notice] [pid 4208:tid 140120669116736] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Mon Jun 16 17:26:40.524268 2025,2025-06-16 17:26:40.524268,mpm_event,notice,4208,140120669116736,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
193,[Mon Jun 16 17:26:40.524287 2025] [core:notice] [pid 4208:tid 140120669116736] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Mon Jun 16 17:26:40.524287 2025,2025-06-16 17:26:40.524287,core,notice,4208,140120669116736,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
194,"[Mon Jun 16 17:26:56.526435 2025] [mpm_event:notice] [pid 4208:tid 140120669116736] AH00492: caught SIGWINCH, shutting down gracefully",Mon Jun 16 17:26:56.526435 2025,2025-06-16 17:26:56.526435,mpm_event,notice,4208,140120669116736,,,AH00492,"AH00492: caught SIGWINCH, shutting down gracefully",SUCCESS,STANDARD_HEADER,
195,[Mon Jun 16 17:27:03.869418 2025] [suexec:notice] [pid 4444:tid 140599448873280] AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),Mon Jun 16 17:27:03.869418 2025,2025-06-16 17:27:03.869418,suexec,notice,4444,140599448873280,,,AH01232,AH01232: suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),SUCCESS,STANDARD_HEADER,
196,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",,,,,,,,,AH00558,"AH00558: httpd: Could not reliably determine the server's fully qualified domain name, using localhost.localdomain. Set the 'ServerName' directive globally to suppress this message",PARTIAL,MISSING_TIMESTAMP_HEADER,MISSING_TIMESTAMP_HEADER
197,[Mon Jun 16 17:27:03.881108 2025] [lbmethod_heartbeat:notice] [pid 4444:tid 140599448873280] AH02282: No slotmem from mod_heartmonitor,Mon Jun 16 17:27:03.881108 2025,2025-06-16 17:27:03.881108,lbmethod_heartbeat,notice,4444,140599448873280,,,AH02282,AH02282: No slotmem from mod_heartmonitor,SUCCESS,STANDARD_HEADER,
198,[Mon Jun 16 17:27:03.881588 2025] [http2:warn] [pid 4444:tid 140599448873280] AH02951: mod_ssl does not seem to be enabled,Mon Jun 16 17:27:03.881588 2025,2025-06-16 17:27:03.881588,http2,warn,4444,140599448873280,,,AH02951,AH02951: mod_ssl does not seem to be enabled,SUCCESS,STANDARD_HEADER,
199,[Mon Jun 16 17:27:03.883400 2025] [mpm_event:notice] [pid 4444:tid 140599448873280] AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,Mon Jun 16 17:27:03.883400 2025,2025-06-16 17:27:03.883400,mpm_event,notice,4444,140599448873280,,,AH00489,AH00489: Apache/2.4.37 (Rocky Linux) configured -- resuming normal operations,SUCCESS,STANDARD_HEADER,
200,[Mon Jun 16 17:27:03.883417 2025] [core:notice] [pid 4444:tid 140599448873280] AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',Mon Jun 16 17:27:03.883417 2025,2025-06-16 17:27:03.883417,core,notice,4444,140599448873280,,,AH00094,AH00094: Command line: '/usr/sbin/httpd -D FOREGROUND',SUCCESS,STANDARD_HEADER,
201,[Mon Jun 16 17:28:21.486635 2025] [proxy_http:error] [pid 4452:tid 140598852220672] (70007)The timeout specified has expired: [client 210.110.68.35:61867] AH01102: error reading status line from remote server 114.70.38.81:5000,Mon Jun 16 17:28:21.486635 2025,2025-06-16 17:28:21.486635,proxy_http,error,4452,140598852220672,,,AH01102,(70007)The timeout specified has expired: [client 210.110.68.35:61867] AH01102: error reading status line from remote server 114.70.38.81:5000,SUCCESS,STANDARD_HEADER,
